variant,Date,cash_gbp,stock_value_gbp,dividend_reserve_gbp,equity_gbp,dividends_accrued_gbp,cost_gbp,positions,pending_exits,stale_positions,stale_value_gbp,cash_interest_gbp,equity_return
Original,2025-08-13,61.3421530581428,11480.833800890368,210.84359197172384,11753.019545920235,0.0,6.366059908267443,15,0,0,0.0,0.006799720101941668,-0.005241535003952413
Original,2025-08-14,0.0,11569.408342487553,244.81875847848565,11814.22710096604,33.975166506761816,4.885591114168187,15,0,0,0.0,0.006263985063115013,0.0052078153028385366
Original,2025-08-15,57.67557209093957,11482.282564510358,244.81875847848565,11784.776895079784,0.0,7.8567755808944995,15,0,0,0.0,0.0,-0.0024927746550469365
Original,2025-08-18,178.13974436988246,12358.79458502283,244.81875847848565,12781.753087871199,0.0,8.11123546300655,15,0,0,0.0,0.017670515176302536,0.08459864804124195
Original,2025-08-19,61.39120383173599,12670.924584797056,244.81875847848565,12977.134547107278,0.0,8.124400113853875,15,0,0,0.0,0.018190830322215863,0.015285967260741495
Original,2025-08-20,122.44573635131803,12674.519575410748,244.81875847848565,13041.784070240552,0.0,5.536100719686169,15,0,0,0.0,0.006268993907731712,0.004981802638987398
Original,2025-08-21,36.34470905959694,12717.216734349651,261.9481888279401,13015.509632237188,17.129430349454434,8.750000238559323,14,0,0,0.0,0.012503608453713393,-0.0020146352570978854
Original,2025-08-22,0.0,12885.477645440122,261.9481888279401,13147.425834268062,0.0,4.014071206409602,14,0,0,0.0,0.003711358394231571,0.010135308240573293
Original,2025-08-26,0.0,12679.371013029619,261.9481888279401,12941.31920185756,0.0,5.709969464287518,14,0,0,0.0,0.0,-0.01567657692149116
Original,2025-08-27,73.89923504612625,12479.168322885402,261.9481888279401,12815.015746759469,0.0,5.904205630974926,14,0,0,0.0,0.0,-0.009759704797325575
Original,2025-08-28,2.4797941478027496e-12,12574.040392799405,261.9481888279401,12835.988581627347,0.0,5.680043047870059,14,0,0,0.0,0.007546257857395383,0.0016365828401874172
Original,2025-08-29,0.0,12473.835079728873,261.9481888279401,12735.783268556814,0.0,3.782274775469987,14,0,0,0.0,2.532254367842813e-16,-0.007806591010369179
Original,2025-09-01,2.6162405575291814e-12,12322.296056102103,261.9481888279401,12584.244244930045,0.0,2.2814919601779637,14,0,0,0.0,0.0,-0.011898681096505492
Original,2025-09-02,0.0,12212.372174335309,261.9481888279401,12474.32036316325,0.0,5.539715956052479,14,0,0,0.0,2.671587310987459e-16,-0.008735040390771331
Original,2025-09-03,78.89667472393819,12148.08151970412,261.9481888279401,12488.926383255997,0.0,5.566352148321368,14,0,0,0.0,0.0,0.0011708870437445729
Original,2025-09-04,105.88407627497955,12202.627522557597,261.9481888279401,12570.459787660517,0.0,3.7780688101627917,14,0,0,0.0,0.008056573944050526,0.006528455841795289
Original,2025-09-05,1.340039190722564e-13,12266.141617104462,261.9481888279401,12528.089805932403,0.0,9.012485290145893,14,0,0,0.0,0.010812406137416453,-0.003370599201924618
Original,2025-09-08,4.547473508864641e-12,12126.96617008959,261.9481888279401,12388.914358917536,0.0,7.310416350942323,14,0,0,0.0,4.1055826579695203e-17,-0.01110907162789998
Original,2025-09-09,40.387972540988244,12070.525481938665,261.9481888279401,12372.861643307593,0.0,12.628366901744153,14,0,0,0.0,4.643675631574212e-16,-0.0012957322284166128
Original,2025-09-10,2.842170943040401e-14,11914.140413931076,261.9481888279401,12176.088602759017,0.0,5.656103299003447,14,0,0,0.0,0.004124238294773496,-0.015903599847898575
Original,2025-09-11,13.551949022534927,11742.418232301912,269.6418488223358,12025.612030146782,7.693659994395696,7.960032039932995,15,0,0,0.0,2.902297269733883e-18,-0.012358367084988053
Original,2025-09-12,35.12134593159023,11652.384418462938,269.6418488223358,11957.147613216863,0.0,6.6614133570645295,15,0,0,0.0,0.0013838641459616382,-0.005693216840713555
Original,2025-09-15,8.526512829121202e-14,11649.99289755073,269.6418488223358,11919.634746373065,0.0,5.020657530147084,15,0,0,0.0,0.010760400873315834,-0.00313727554908938
Original,2025-09-16,1.2896350654045818e-12,11611.542427738692,269.6418488223358,11881.184276561029,0.0,6.54057105099439,15,0,0,0.0,8.706891809201649e-18,-0.00322580940021977
Original,2025-09-17,35.39852246463568,11822.766442334578,269.6418488223358,12127.806813621548,0.0,5.017638117119385,15,0,0,0.0,1.3169173861417495e-16,0.020757403581985523
Original,2025-09-18,12.356126277848603,12176.271318427784,269.6418488223358,12458.269293527968,0.0,9.742478372516231,15,0,0,0.0,0.00361473807032251,0.027248329808094995
Original,2025-09-19,4.687805699177261e-12,12162.790678917672,269.6418488223358,12432.432527740013,0.0,8.376734127820937,15,0,0,0.0,0.0012617521000452129,-0.002073864770396061
Original,2025-09-22,0.0,12193.798862708736,269.6418488223358,12463.440711531071,0.0,8.629930891415162,15,0,0,0.0,1.4362396201334302e-15,0.0024941365032040697
Original,2025-09-23,0.0,12021.45150450424,269.6418488223358,12291.093353326576,0.0,8.299653037987687,15,0,0,0.0,0.0,-0.013828232684176878
Original,2025-09-24,0.0,11801.321416640714,269.6418488223358,12070.96326546305,0.0,8.382597419730125,15,0,0,0.0,0.0,-0.017909723857393756
Original,2025-09-25,2.5579538487363607e-13,11656.06913217244,294.44813347712557,11950.517265649567,24.806284654789767,11.402730206000307,15,0,0,0.0,0.0,-0.009978159751185545
Original,2025-09-26,1.4424017535930034e-12,11710.166720623629,294.44813347712557,12004.614854100757,0.0,4.920719484963791,15,0,0,0.0,2.6120675427604946e-17,0.004526798903231377
Original,2025-09-29,0.0,11684.874240656465,294.44813347712557,11979.322374133591,0.0,5.028301575066301,15,0,0,0.0,4.4191988311797856e-16,-0.00210689641230144
Original,2025-09-30,0.0,11702.21836847498,294.44813347712557,11996.666501952106,0.0,9.713332297510021,15,0,0,0.0,0.0,0.0014478388073071446
Original,2025-10-01,0.6862918531481093,11637.071003948655,294.44813347712557,11932.205429278929,0.0,11.040459372386945,15,0,0,0.0,0.0,-0.005373248698935518
Original,2025-10-02,0.0,11559.371841196747,294.44813347712557,11853.819974673874,0.0,7.320385568647852,16,0,0,0.0,7.008104056899618e-05,-0.006569234419373515
Original,2025-10-03,32.93207838774549,11687.837713267238,294.44813347712557,12015.217925132109,0.0,7.630644717585512,16,0,0,0.0,0.0,0.013615691043314948
Original,2025-10-06,78.83183560558712,11881.295500365926,294.44813347712557,12254.57546944864,0.0,7.685813641779243,16,0,0,0.0,0.01008965788879029,0.019921198750450397
Original,2025-10-07,8.633094239485217e-13,11957.976003466672,294.44813347712557,12252.424136943799,0.0,6.396422671899357,16,0,0,0.0,0.008049952864603386,-0.0001755534094350919
Original,2025-10-08,29.032386691852025,11866.747348351673,294.44813347712557,12190.227868520651,0.0,10.920792612204862,16,0,0,0.0,8.81572795681667e-17,-0.00507624187083211
Original,2025-10-09,0.0,12251.151225078303,294.44813347712557,12545.59935855543,0.0,7.714596913191701,16,0,0,0.0,0.0029646568879309913,0.0291521613761192
Original,2025-10-10,0.0,12288.153264787758,294.44813347712557,12582.601398264884,0.0,8.173183963672878,16,0,0,0.0,0.0,0.002949403902669623
Original,2025-10-13,54.40020130211019,12310.1052355554,294.44813347712557,12658.953570334637,0.0,9.562871781097469,16,0,0,0.0,0.0,0.0060680752455755105
Original,2025-10-14,0.0,12030.532326885601,294.44813347712557,12324.980460362727,0.0,4.882481963260722,16,0,0,0.0,0.00555510413962612,-0.026382363132648856
Original,2025-10-15,4.547473508864641e-13,11824.891342487084,294.44813347712557,12119.33947596421,0.0,4.664009631881751,16,0,0,0.0,0.0,-0.016684893339982132
Original,2025-10-16,16.392560850106445,11931.001360557995,294.44813347712557,12241.842054885228,0.0,9.288938637963083,16,0,0,0.0,4.643675631574213e-17,0.010108024382349479
Original,2025-10-17,0.0,11790.249809953635,294.44813347712557,12084.697943430761,0.0,4.85135575206037,16,0,0,0.0,0.001673934663068371,-0.012836639351326729
Original,2025-10-20,0.0,11816.298595853388,294.44813347712557,12110.746729330514,0.0,9.567106171201475,16,0,0,0.0,0.0,0.0021555181620334096
Original,2025-10-21,25.564408353068757,12307.848972496913,294.44813347712557,12627.861514327109,0.0,8.015857367378407,16,0,0,0.0,0.0,0.04269883571623345
Original,2025-10-22,70.88434669654498,12217.137341042833,294.44813347712557,12582.469821216504,0.0,12.826509375104816,16,0,0,0.0,0.002610522521425231,-0.0035945669073980113
Original,2025-10-23,89.97006290642324,12607.986073021468,327.0909655079992,13025.04710143589,32.64283203087367,6.490982842252172,16,0,0,0.0,0.007238391004876589,0.03517411815867133
Original,2025-10-24,6.821210263296962e-13,12703.649114158721,327.0909655079992,13030.74007966672,0.0,8.36238298790283,16,0,0,0.0,0.009187338593074417,0.00043707928167124876
Original,2025-10-27,2.2737367544323206e-13,12738.850658109854,327.0909655079992,13065.941623617853,0.0,4.477878061907254,17,0,0,0.0,2.089867427553002e-16,0.0027014232296798113
Original,2025-10-28,0.0,12626.193438643932,327.0909655079992,12953.284404151931,0.0,9.302821563088232,17,0,0,0.0,2.3218378157871064e-17,-0.008622204408313294
Original,2025-10-29,42.95452259093237,12621.89758677141,327.0909655079992,12991.943074870343,0.0,7.80054045359239,17,0,0,0.0,0.0,0.002984468611375579
Original,2025-10-30,142.65146242174916,13039.706972901962,327.0909655079992,13509.44940083171,0.0,1.9843391772540713,17,0,0,0.0,0.004386322854494587,0.039832865875340406
Original,2025-10-31,0.0,13325.80491663253,327.0909655079992,13652.89588214053,0.0,6.941176647680079,17,0,0,0.0,0.014566926416723382,0.01061823299030884
Original,2025-11-03,3.4538397859458527,13268.820614407861,327.0909655079992,13599.365419701806,0.0,6.625351399208302,17,0,0,0.0,0.0,-0.003920813789311084
Original,2025-11-04,0.0,13056.514143821943,327.0909655079992,13383.605109329943,0.0,9.848820146468585,17,0,0,0.0,0.0003526906010138046,-0.015865468991610787
Original,2025-11-05,94.1540362430655,12727.803788077554,327.0909655079992,13149.04878982862,0.0,6.499244669742437,17,0,0,0.0,0.0,-0.017525645563003844
Original,2025-11-06,0.0,12966.311621889517,327.0909655079992,13293.402587397517,0.0,9.170203173842436,17,0,0,0.0,0.009614587151832329,0.010978269217508885
Original,2025-11-07,29.26661515068299,13155.323296634117,327.0909655079992,13511.6808772928,0.0,8.09365955879783,17,0,0,0.0,0.0,0.016420046595310156
Original,2025-11-10,0.0,13382.503482512164,327.0909655079992,13709.594448020163,0.0,9.546931486923278,17,0,0,0.0,0.008966641308104012,0.014647590668010135
Original,2025-11-11,0.0,13335.18982098811,327.0909655079992,13662.280786496109,0.0,9.714050519264568,17,0,0,0.0,0.0,-0.0034511350210573166
Original,2025-11-12,0.0,13537.914334923023,327.0909655079992,13865.005300431023,0.0,8.055957132346514,17,0,0,0.0,0.0,0.014838262886185838
Original,2025-11-13,0.0,13324.021897223023,327.0909655079992,13651.112862731023,0.0,8.588971862245884,17,0,0,0.0,0.0,-0.015426783695016044
Original,2025-11-14,0.0,13150.810036230521,327.0909655079992,13477.90100173852,0.0,6.56400329500405,17,0,0,0.0,0.0,-0.012688479154354448
Original,2025-11-17,28.023087380272944,13409.926631751714,327.0909655079992,13765.040684639986,0.0,6.484628075257756,17,0,0,0.0,0.0,0.021304480784094304
Original,2025-11-18,0.0,13350.391540472458,327.0909655079992,13677.482505980457,0.0,11.358182255830137,17,0,0,0.0,0.002861591776963153,-0.006360909543640658
Original,2025-11-19,143.60942927621443,13531.984691354712,327.0909655079992,14002.685086138925,0.0,6.988321655650455,17,0,0,0.0,0.0,0.02377649395758863
Original,2025-11-20,57.75387699786398,13649.78191196783,327.0909655079992,14034.626754473693,0.0,11.479867638087864,17,0,0,0.0,0.014664749687804884,0.002281110239805928
Original,2025-11-21,22.974579662386986,13466.688960134034,327.0909655079992,13816.75450530442,0.0,6.743107619500129,17,0,0,0.0,0.0058975664337816884,-0.015523907616554422
Original,2025-11-24,0.0,13088.43111099134,327.0909655079992,13415.52207649934,0.0,9.666484692031279,17,0,0,0.0,0.0070389012865492906,-0.029039556912663023
Original,2025-11-25,11.518035205246022,12830.830494010632,327.0909655079992,13169.439494723878,0.0,5.138186466414057,17,0,0,0.0,0.0,-0.01834312376158187
Original,2025-11-26,3.8957443620619223,13107.914780994306,327.0909655079992,13438.901490864368,0.0,8.635500830369875,18,0,0,0.0,0.00117617000521172,0.020461159053006384
Original,2025-11-27,0.0,13120.478851507321,334.48245794186255,13454.961309449183,7.391492433863352,7.5934184655759465,18,0,0,0.0,0.00039781591087192973,0.0011950246525531671
Original,2025-11-28,58.88309069081896,13008.24790788827,334.48245794186255,13401.61345652095,0.0,7.557946259020479,17,0,0,0.0,0.0,-0.003964920574744957
