product_id,day,execution_at,reference_bar_start,assumed_available_at,age_upper_bound_minutes,reference_price_usd,raw_path
XLM-USD,2023-06-15 00:00:00+00:00,2023-06-15 00:05:00+00:00,2023-06-15 00:04:00+00:00,2023-06-15 00:05:00+00:00,1.0,0.079208,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/XLM-USD_20230615_0000_0015_60s.json
ADA-USD,2023-06-16 00:00:00+00:00,2023-06-16 00:05:00+00:00,2023-06-16 00:04:00+00:00,2023-06-16 00:05:00+00:00,1.0,0.261,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/ADA-USD_20230616_0000_0015_60s.json
ALGO-USD,2023-06-16 00:00:00+00:00,2023-06-16 00:05:00+00:00,2023-06-16 00:04:00+00:00,2023-06-16 00:05:00+00:00,1.0,0.1119,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/ALGO-USD_20230616_0000_0015_60s.json
APT-USD,2023-06-16 00:00:00+00:00,2023-06-16 00:05:00+00:00,2023-06-16 00:04:00+00:00,2023-06-16 00:05:00+00:00,1.0,6.21,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/APT-USD_20230616_0000_0015_60s.json
ATOM-USD,2023-06-16 00:00:00+00:00,2023-06-16 00:05:00+00:00,2023-06-16 00:04:00+00:00,2023-06-16 00:05:00+00:00,1.0,8.637,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/ATOM-USD_20230616_0000_0015_60s.json
AVAX-USD,2023-06-16 00:00:00+00:00,2023-06-16 00:05:00+00:00,2023-06-16 00:04:00+00:00,2023-06-16 00:05:00+00:00,1.0,11.39,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/AVAX-USD_20230616_0000_0015_60s.json
BCH-USD,2023-06-16 00:00:00+00:00,2023-06-16 00:05:00+00:00,2023-06-16 00:04:00+00:00,2023-06-16 00:05:00+00:00,1.0,104.56,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/BCH-USD_20230616_0000_0015_60s.json
BTC-USD,2023-06-16 00:00:00+00:00,2023-06-16 00:05:00+00:00,2023-06-16 00:04:00+00:00,2023-06-16 00:05:00+00:00,1.0,25521.69,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/BTC-USD_20230616_0000_0015_60s.json
CRV-USD,2023-06-16 00:00:00+00:00,2023-06-16 00:05:00+00:00,2023-06-16 00:04:00+00:00,2023-06-16 00:05:00+00:00,1.0,0.6064,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/CRV-USD_20230616_0000_0015_60s.json
DOT-USD,2023-06-16 00:00:00+00:00,2023-06-16 00:05:00+00:00,2023-06-16 00:04:00+00:00,2023-06-16 00:05:00+00:00,1.0,4.36,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/DOT-USD_20230616_0000_0015_60s.json
ETH-USD,2023-06-16 00:00:00+00:00,2023-06-16 00:05:00+00:00,2023-06-16 00:04:00+00:00,2023-06-16 00:05:00+00:00,1.0,1663.26,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/ETH-USD_20230616_0000_0015_60s.json
FET-USD,2023-06-16 00:00:00+00:00,2023-06-16 00:05:00+00:00,2023-06-16 00:04:00+00:00,2023-06-16 00:05:00+00:00,1.0,0.1817,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/FET-USD_20230616_0000_0015_60s.json
FIL-USD,2023-06-16 00:00:00+00:00,2023-06-16 00:05:00+00:00,2023-06-16 00:04:00+00:00,2023-06-16 00:05:00+00:00,1.0,3.639,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/FIL-USD_20230616_0000_0015_60s.json
ICP-USD,2023-06-16 00:00:00+00:00,2023-06-16 00:05:00+00:00,2023-06-16 00:04:00+00:00,2023-06-16 00:05:00+00:00,1.0,3.958,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/ICP-USD_20230616_0000_0015_60s.json
INJ-USD,2023-06-16 00:00:00+00:00,2023-06-16 00:05:00+00:00,2023-06-16 00:03:00+00:00,2023-06-16 00:04:00+00:00,2.0,5.887,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/INJ-USD_20230616_0000_0015_60s.json
JASMY-USD,2023-06-16 00:00:00+00:00,2023-06-16 00:05:00+00:00,2023-06-16 00:03:00+00:00,2023-06-16 00:04:00+00:00,2.0,0.00356,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/JASMY-USD_20230616_0000_0015_60s.json
LDO-USD,2023-06-16 00:00:00+00:00,2023-06-16 00:05:00+00:00,2023-06-16 00:04:00+00:00,2023-06-16 00:05:00+00:00,1.0,1.683,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/LDO-USD_20230616_0000_0015_60s.json
LINK-USD,2023-06-16 00:00:00+00:00,2023-06-16 00:05:00+00:00,2023-06-16 00:04:00+00:00,2023-06-16 00:05:00+00:00,1.0,5.288,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/LINK-USD_20230616_0000_0015_60s.json
LTC-USD,2023-06-16 00:00:00+00:00,2023-06-16 00:05:00+00:00,2023-06-16 00:04:00+00:00,2023-06-16 00:05:00+00:00,1.0,74.48,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/LTC-USD_20230616_0000_0015_60s.json
OP-USD,2023-06-16 00:00:00+00:00,2023-06-16 00:05:00+00:00,2023-06-16 00:04:00+00:00,2023-06-16 00:05:00+00:00,1.0,1.105,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/OP-USD_20230616_0000_0015_60s.json
SOL-USD,2023-06-16 00:00:00+00:00,2023-06-16 00:05:00+00:00,2023-06-16 00:04:00+00:00,2023-06-16 00:05:00+00:00,1.0,14.69,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/SOL-USD_20230616_0000_0015_60s.json
STX-USD,2023-06-16 00:00:00+00:00,2023-06-16 00:05:00+00:00,2023-06-16 00:03:00+00:00,2023-06-16 00:04:00+00:00,2.0,0.5396,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/STX-USD_20230616_0000_0015_60s.json
UNI-USD,2023-06-16 00:00:00+00:00,2023-06-16 00:05:00+00:00,2023-06-16 00:04:00+00:00,2023-06-16 00:05:00+00:00,1.0,4.417,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/UNI-USD_20230616_0000_0015_60s.json
